episode,legacy_objective,db_objective,legacy_cost,db_cost
1,7.685487683059682,7.685487683059682,0.13559873868559522,0.13559873868559522
2,8.887681840914725,8.822926025365362,0.19143468591498286,0.18940233612183885
3,8.898621572843092,8.882593102659998,0.1498794344811141,0.16806875336640437
4,9.04663555305028,8.826379431859236,0.08990832136397778,0.10815289469102447
5,9.482785846549511,9.022768751056526,0.23653567902977335,0.36874471332092135
6,8.871547487699546,8.326919759260154,0.11651821560278286,0.13141348232924285
7,9.598926339917936,9.10595488359847,0.13473372796997446,0.14884666109054032
8,9.508577872482856,8.842068421980638,0.15071646773649186,0.15710118907937645
9,9.338056057714976,8.728982208061085,0.14820754821278567,0.1568286056377855
10,8.874512906924094,8.431773293751343,0.1624089215299269,0.1522249153068514
11,8.904357716448335,8.407310561723365,0.17276743825613206,0.1928554138982809
12,8.544445554352656,8.30808771622032,0.14347760947739124,0.16797862746234518
13,8.50651340972568,8.129710536256637,0.2015496159066568,0.17390375716698114
14,8.616322151695261,8.420392134248466,0.1507810843058187,0.14004970630883817
15,8.691033127104763,8.364919785705752,0.16261182331186383,0.15657563899396176
16,8.540817854194717,8.296800540508364,0.12533395176380524,0.11300774924382263
17,8.637142038861427,8.219175023119863,0.2631696246512978,0.17942757341614335
18,8.200380281104149,7.861931473001671,0.33184423027981025,0.28596707885592815
19,8.26134157501456,8.028591594415397,0.1861523564361695,0.159119618491985
20,8.335343146373976,8.08933132701699,0.2517011822985475,0.16908097928130286
21,7.595891513692826,7.331601529195263,0.17969990358153737,0.1345763197916271
22,7.862141298338604,7.6873619943478255,0.1916733581864473,0.15108251973537928
23,7.692018341468886,7.594973078571939,0.28711300849292115,0.14283919041176332
24,7.705762404285679,7.360006825166806,0.2923218672950377,0.16516839885154183
25,7.593003513347902,7.519788602212583,0.39921439324374347,0.23513987485859006
26,7.518801675568015,7.443087617393179,0.24369002211411117,0.148438088058509
27,7.177988801334123,7.38624518517642,0.19536894654098474,0.11872778096858794
28,7.035671042458005,6.920631803498826,0.27785022076750643,0.1556047408183742
29,6.94715914134231,7.087656802850456,0.17055554025007588,0.13197043282548301
30,7.012555211780596,6.769079065813127,0.21072136991672963,0.17121873336450175
31,6.963329345826605,7.153655279529265,0.23633296622487113,0.11372282881732602
32,6.9972377050391,7.01121241232736,0.2674152356292771,0.16945675228323276
33,7.3415860958865435,7.147591342878514,0.29015540733034295,0.16031775729323985
34,6.774860728031501,6.504444682981414,0.27975550205339106,0.18034374559614924
35,6.95313215147037,6.461087914408407,0.46915574743997007,0.24321283320735163
36,7.196741328078952,6.555533810398459,0.33536940373463686,0.17053267466901004
37,7.045669880073691,6.452752189671624,0.30949461397927086,0.19990798811664276
38,6.73416102929153,6.133315647649361,0.6815032089167178,0.21489676862442864
39,6.830369882428514,6.296034268939261,0.6527330772289534,0.28346532932063984
40,6.7094795852640505,6.00652865512351,0.5377082888074098,0.2079731672916137
41,7.28600259079202,6.247969726953724,0.3427151692548781,0.14760079368823076
42,6.8400309677313045,6.142938772587108,0.7172652980413067,0.30399898734380915
43,7.116712616826191,5.9013379526119705,0.43123002778366926,0.1761595541758654
44,7.405973114624791,6.252528185628662,0.5514996449275898,0.17756194794898816
45,7.312984822912143,5.990738182470983,0.530992322379142,0.17423547818993432
46,7.4033460966791305,6.05921017539051,0.6477847447889147,0.25404414402501213
47,7.280941881843795,5.4450408268574995,0.6730577783983053,0.21079718905543451
48,7.490679472764079,5.455464143557106,0.7058258223523022,0.21939631505906135
49,7.865290731096306,5.623190261004123,0.8487414197924735,0.20624770563587155
50,7.622429618134761,5.340233259954443,0.7143877096101232,0.346848352034185
51,8.105910375443512,5.170486107330943,0.8512874830758069,0.266153693532115
52,7.710577072889837,5.207664154176688,0.8216941010284927,0.2501304834024539
53,8.292839229122723,5.183341488499841,0.8330738571949574,0.30620850701503977
54,8.262291545149822,5.09178903285587,0.5849994824758978,0.26140181695882414
55,8.318358191980343,4.951044746985765,0.9813886029982553,0.30842798480940864
56,8.326365992079172,4.591079689476914,1.0672722092558196,0.34076803792854493
57,8.641795422590326,4.756925694328924,0.9640430152994531,0.35151581802772947
58,8.297555790695485,4.603730185662112,0.8221136261507502,0.27066048689392314
59,8.401519725373698,4.426992839861937,0.9393543041875952,0.33111699595707655
60,8.247208733332636,4.186559579463646,0.6924190447569303,0.3141035484189343
61,8.42525615752394,4.123929639558296,0.6907657351146167,0.3910841416606523
62,8.541718495361309,4.030287432430148,0.6874844360176394,0.4584877111111648
63,8.550592807494617,3.792080105390406,0.7403882743175404,0.5621413348643687
64,8.988480575239018,3.8968326152493704,0.7693408938466543,0.40941292710897914
65,8.905721300372214,3.693413286088819,0.8669910460515459,0.5566449339119512
66,8.95771701270647,3.605775935186486,0.5565027724691355,0.4444124978860372
67,9.401176518806208,3.5736588661383557,0.5612967184026344,0.35385829533106644
68,9.272728287806467,3.3658567965690445,0.5853120180232475,0.4893450226803723
69,9.259737442860349,3.598792143698313,0.7784449140478473,0.30760082422792684
70,9.293746842109483,3.1060484075839274,0.8575727754983405,0.5650882711804457
71,9.342596499293709,3.063623637376022,0.6736443599358491,0.6100708745008052
72,9.60993776675006,3.268319858912115,0.592281347169818,0.5412721641726238
73,9.896158408715412,3.216320346543844,0.5006015926612771,0.5938402182747136
74,9.86992324625105,3.1819562235088585,0.5348817341444253,0.5354539626122703
75,9.346825063962763,2.80319911389985,0.5872851605189205,0.7407069371272905
76,9.779346927105706,2.9582966429600406,0.6773182218843331,0.69259040544258
77,9.670705310130835,2.9331362865803667,0.6214218416536702,0.5406133928329492
78,10.101052291032097,3.1166143318913266,0.39244287096991265,0.5298218586383949
79,9.914130963074994,2.7300673966937192,0.5572721958307545,0.6962435019175425
80,9.975376869866016,2.724876013851039,0.722577871998374,0.8672942588018535
81,10.231546906623315,2.9901581735198226,0.522990751207527,0.6895006038627522
82,10.220718735857174,2.8753712072035547,0.4207071567551553,0.6519776436699213
83,10.527952420525189,2.807079373939209,0.523561571343058,0.8251280700810004
84,10.528024889841136,2.8100925359086295,0.26828666833461634,0.5890927719879386
85,11.533826248646935,3.220383115190749,0.3168111344149438,0.5371161003316162
86,11.102982414158673,3.248992466126694,0.31883787591257257,0.6314241691691498
87,10.833586764417896,3.139639747300074,0.25992005096339726,0.49290672436602384
88,11.403899249465058,3.1550376774621363,0.4260524676284604,0.7577821422483672
89,11.632229391901197,3.4779649423800483,0.14784568516376573,0.47645129023551647
90,11.297452750553838,2.9927176580332984,0.45896724689113294,1.0264037781688309
91,12.002550312260778,3.476426945876541,0.36854903909359044,0.6674826440253842
92,11.361387479714983,3.2190318298052745,0.6322415412289665,1.0150411681091978
93,11.611070901419193,3.130896462326879,0.3855319284775258,0.8470906223531807
94,11.896616457104619,3.3931139269607735,0.3363901002412906,0.6960282195139327
95,12.259541419547968,3.557402906607268,0.32942044883687105,0.8026217544368525
96,12.85065669998943,3.856624330682247,0.1666747256740269,0.6024357126918427
97,11.792690477793567,3.3024027150930753,0.3790949663387725,0.7972068382322448
98,12.068452292529871,3.5569311743672682,0.3960514785815984,0.9475584964069326
99,11.831273462349317,3.7699548052820706,0.2734302983807826,0.581466573737485
100,13.093302217807215,4.230276787160444,0.22024862617312307,0.5053783845707638
