episode,old_power,new_power,old_delay,new_delay
1,5.347023673484155,5.281221050278476,1.4308336805237898,1.4321335928368248
2,5.393348562609633,5.262533003889,1.5396795110581964,1.5408377422028876
3,5.078985054803948,4.913598447068637,1.4683038102071393,1.4474844918158511
4,4.541932675873934,4.553399801847449,1.4026365555803106,1.3715761900567198
5,4.053836416254815,4.2410472033777555,1.361194676635237,1.3187150428456091
6,3.6743536468287994,3.9779133928317654,1.3483722986839761,1.2982348958598173
7,3.3893729796307404,3.797617185407554,1.3317841322060484,1.2714277937721894
8,3.1785503414449994,3.6607300588186282,1.3194458206359385,1.2557824918304274
9,2.999113944207936,3.553432552812422,1.309819413166023,1.2394823530668773
10,2.8356514310322187,3.461180465476173,1.307180060385205,1.2213296268300906
11,2.45368001300683,3.200152554435793,1.2853176427009436,1.186824491022455
12,2.0638235157686973,2.947990012343176,1.2434230671604043,1.1281193572848909
13,1.7797811922023121,2.799998426110798,1.2345074770244449,1.1154306423109714
14,1.6436477784993822,2.7218501968700757,1.236139209271722,1.1118489634449489
15,1.5855080093078673,2.700788069928193,1.2417924639867781,1.1074014569326662
16,1.5576649054139886,2.7049276422550568,1.2406461903018138,1.1020517203064408
17,1.5311839538658212,2.703815544079301,1.2494889734760972,1.1063582027025933
18,1.5090635388074203,2.701782494563846,1.2483661647575481,1.1042298728227127
19,1.4990325638697635,2.7001695783392363,1.247588191261885,1.1013661357868976
20,1.4852992865876986,2.6879656689100675,1.2463822799797035,1.1118108629560968
21,1.4676837234998237,2.6779504641682617,1.2473139430558255,1.111620252213658
22,1.4442137570282538,2.6565925834125648,1.2559598354830759,1.1349398084381013
23,1.421561730987001,2.6435180730039027,1.2619593848982174,1.1442519125299093
24,1.402949400342063,2.6435317606562525,1.2641670426063665,1.145320922070276
25,1.38606046884673,2.6293291053823844,1.2703146670264662,1.1536164615732998
26,1.3817130946755718,2.636155709071609,1.2679126943740882,1.14957429116068
27,1.3935243930331689,2.6401095047030316,1.2486171751309372,1.1429370399000636
28,1.3887758885049297,2.641406793645837,1.2451981307123594,1.1430240875278324
29,1.397459939482075,2.6450134578424827,1.2354924036342663,1.1490704009122994
30,1.3936606666647788,2.6402664258347275,1.2259181548556786,1.1470295993129216
31,1.3949695672941422,2.6512432198075992,1.2211603877164197,1.1432999842193747
32,1.4002895826898547,2.6752681954090867,1.2130989584706826,1.1261984291477152
33,1.3988594354295405,2.679104022093516,1.2087360494840904,1.1194433242550346
34,1.4012557322508332,2.6789475428111027,1.2099762583178775,1.1238070450259947
35,1.406145243769446,2.6788326696178113,1.202839792802284,1.1295980569993487
36,1.4007488058960258,2.6676888087005493,1.198661019501832,1.1307174298307625
37,1.3826516189109819,2.66716518699594,1.2090429869281558,1.1263856791610032
38,1.3871624704611276,2.6680978950327465,1.200654897357574,1.1239575361904373
39,1.3666377915546573,2.667036329912144,1.2111796658115017,1.1171176322179484
40,1.3692131119781792,2.668356780535009,1.2106785268188456,1.1173923122930278
41,1.3687471080133378,2.66675329758155,1.206345398888289,1.1161704991674244
42,1.3684408490602575,2.6611186681077146,1.1979215272051187,1.1090602726556882
43,1.3734687767063025,2.6627605788867434,1.188347641830064,1.1076718994575783
44,1.369175023017099,2.6514321683971747,1.1890722121804183,1.1148719062397145
45,1.3701520883625469,2.6547141350776458,1.181452644086494,1.1041014139313756
46,1.3743823827193415,2.6666787523185933,1.1759461302135967,1.0947304334994985
47,1.3781574769054896,2.664694332424279,1.1716221698547118,1.0983573491096843
48,1.3643442541330881,2.6595127893729202,1.1864205812240347,1.1012926487872516
49,1.3725588953359997,2.6570910538664156,1.1754014366977856,1.1024885397336235
50,1.36439696240661,2.6695883451588585,1.17794390740214,1.0928594439970758
51,1.3586990688980691,2.6517754256587573,1.182532010948325,1.1058072303300537
52,1.342987837189335,2.6378158645369214,1.1928096266463581,1.1134773185455096
53,1.348746184656584,2.636017124275128,1.1892128854573516,1.1065549243443915
54,1.352102721776687,2.645867836671429,1.1804915278437187,1.0934998127725661
55,1.346054418343807,2.6424811483647774,1.1838305626281314,1.0991332918385222
56,1.3381195000024233,2.6182107500381373,1.1880327735992582,1.1152591452043572
57,1.3362792269494448,2.6134032207701923,1.1855206347647196,1.1172527602391578
58,1.3425803801490819,2.6078366821935064,1.1754382037192992,1.1210201245519824
59,1.3299612787244266,2.597275415412213,1.1853420117691753,1.126948228336134
60,1.325745356987176,2.5887180741777307,1.1889045309308066,1.133067092520511
61,1.3295342678982482,2.6035608689879695,1.1814301789238375,1.1191656054991255
62,1.3384864588669978,2.611972870190548,1.1717998398654115,1.1149878852462107
63,1.3254789351505352,2.614098925239699,1.1776775628926368,1.1120850528906285
64,1.3321231163770813,2.6108958009598937,1.1725844418805471,1.1133367227870374
65,1.332943537295628,2.610118683470994,1.1659508384182324,1.1089745370168076
66,1.3266287026887538,2.6149070209116863,1.1664452706487016,1.1050884418934566
67,1.3238791025768897,2.603623322287963,1.163968555807022,1.1066248275107657
68,1.3262408244750281,2.617276746851871,1.1549538347470756,1.08847822558788
69,1.323105088184042,2.6197068007740323,1.1565724917678457,1.087985032180554
70,1.320260022727862,2.6131031208405404,1.1571479846625534,1.0896134040815042
71,1.3167005707580468,2.601842691301285,1.1593257936106052,1.0975768841140623
72,1.3189093436994754,2.5930799518140537,1.1539400090894814,1.1010027518342063
73,1.3151281440842861,2.5984930982866796,1.1567760302604044,1.1056565024200284
74,1.295935094024295,2.5896234945045324,1.1643556734917087,1.1080646712065867
75,1.3025254797742323,2.599825247738837,1.1616619048411327,1.1024207843148683
76,1.3049736906945617,2.5988851310265786,1.161316861545702,1.1054049884469346
77,1.3031741151296155,2.611406785060705,1.167892939210766,1.1031482763845315
78,1.2997171680004158,2.5963133057637675,1.1728123710212859,1.112815115081174
79,1.315180890066162,2.6003729818721806,1.1554526942765155,1.1042598415317326
80,1.3166087841501282,2.5934873453873744,1.1536068366161534,1.1118050354355027
81,1.3222901474751556,2.5985631041139934,1.1536121574426648,1.10791908298731
82,1.3223218811447475,2.5946448162602884,1.160945858256241,1.1100932554763616
83,1.321020517201972,2.587937580185536,1.1588150991006145,1.1106271199602449
84,1.3256779818424929,2.59062705731817,1.1575469905145994,1.1157668019307727
85,1.3116502783431838,2.573168924180186,1.1708510452059022,1.1259126942047493
86,1.3248330071363348,2.584757748600425,1.1621285666186345,1.1139737993738708
87,1.330382342343282,2.5824323261543713,1.1545404895095157,1.115683327873825
88,1.3341095374895486,2.5801540262592555,1.15165143129611,1.1260651763644778
89,1.3297632234836347,2.572049152205286,1.1593718208187433,1.1331447357678637
90,1.3337076221030526,2.573396374888396,1.154428467057074,1.1262993001249044
91,1.3275455055652192,2.5790307457722292,1.1518445350220643,1.117597557430145
92,1.328553534457245,2.5900023451468774,1.146345715274653,1.114276690642495
93,1.3361127061607523,2.590712492340985,1.1435369268536675,1.118578834233693
94,1.3472002596275106,2.5973582393198265,1.1351931689176726,1.1093661350261004
95,1.3561315422818931,2.6051924583165054,1.1220746479486874,1.1005141286853328
96,1.3461248114558892,2.5887945905347434,1.1252630406326254,1.1091837216917204
97,1.3504196047751977,2.585637761634963,1.1212407561630264,1.104363118184255
98,1.3421428649598313,2.5868302418197557,1.125436875570926,1.0986453627375858
99,1.3368227130213333,2.589069654170708,1.1280762683054102,1.100659960512864
100,1.343723448465109,2.5976712781778586,1.123778244690034,1.0981237182047836
